phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,15,25,17634,5522833,5540467,0.001310,0.194531,0.195841
10,15,25,26019,1055614,1081633,0.002048,0.043643,0.045691
10,15,25,18750,680632,699382,0.001429,0.026700,0.028129
10,14,24,64000,104801,168801,0.004409,0.004845,0.009254
9,14,23,3036,92504,95540,0.000252,0.004599,0.004851
9,13,22,1446,76774,78220,0.000155,0.003379,0.003534
10,14,24,41894,72063,113957,0.002689,0.003803,0.006492
9,14,23,4295,772660,776955,0.000369,0.030078,0.030447
8,15,23,2842,173314,176156,0.000294,0.007968,0.008262
10,14,24,44884,624687,669571,0.003281,0.025690,0.028971
10,13,23,34161,119444,153605,0.002609,0.005068,0.007677
10,14,24,15468,783131,798599,0.001125,0.032542,0.033667
10,14,24,30605,73720,104325,0.002100,0.003259,0.005359
10,14,24,35503,146183,181686,0.002560,0.006286,0.008846
10,15,25,13075,811800,824875,0.000971,0.030372,0.031343
9,12,21,15357,39744,55101,0.001221,0.001830,0.003051
9,14,23,2197,418886,421083,0.000216,0.017843,0.018059
10,14,24,22562,693807,716369,0.001876,0.027847,0.029723
9,13,22,9896,41314,51210,0.000860,0.001894,0.002754
9,15,24,2103,1619097,1621200,0.000186,0.059822,0.060008
10,14,24,6964,12776,19740,0.000631,0.000974,0.001605
10,14,24,14285,1448620,1462905,0.001106,0.054660,0.055766
10,15,25,20023,1878002,1898025,0.001601,0.070234,0.071835
9,14,23,1694,171326,173020,0.000197,0.006564,0.006761
10,15,25,12190,423442,435632,0.000942,0.016814,0.017756
10,15,25,70911,987449,1058360,0.004374,0.040587,0.044961
10,12,22,31671,12890,44561,0.002424,0.000835,0.003259
7,14,21,577,214380,214957,0.000059,0.008475,0.008534
9,14,23,7161,1941795,1948956,0.000569,0.065963,0.066532
10,15,25,37225,802453,839678,0.002696,0.029999,0.032695
10,15,25,77768,1059454,1137222,0.005105,0.042948,0.048053
10,14,24,16747,559584,576331,0.001393,0.024964,0.026357
10,14,24,26505,101743,128248,0.002066,0.004058,0.006124
9,11,20,3695,4701,8396,0.000301,0.000320,0.000621
9,14,23,1863,9551220,9553083,0.000158,0.306303,0.306461
10,11,21,20659,1671,22330,0.001326,0.000113,0.001439
10,15,25,35782,461245,497027,0.002643,0.018239,0.020882
9,14,23,4098,139017,143115,0.000372,0.005808,0.006180
8,14,22,2599,1349393,1351992,0.000225,0.045891,0.046116
10,15,25,18386,900145,918531,0.001418,0.036936,0.038354
9,12,21,3441,14835,18276,0.000339,0.000776,0.001115
10,13,23,89310,20755,110065,0.005983,0.000995,0.006978
11,15,26,91145,4216145,4307290,0.005306,0.176659,0.181965
10,14,24,7447,135322,142769,0.000723,0.006449,0.007172
9,15,24,1138,1986632,1987770,0.000114,0.087610,0.087724
10,14,24,54616,1704891,1759507,0.003849,0.066332,0.070181
9,14,23,6564,675036,681600,0.000612,0.024195,0.024807
10,13,23,11392,12256,23648,0.000950,0.000638,0.001588
9,14,23,16221,13173,29394,0.001161,0.000996,0.002157
10,13,23,29423,74086,103509,0.002032,0.004170,0.006202
10,14,24,24479,99962,124441,0.001770,0.004644,0.006414
9,13,22,5216,111399,116615,0.000425,0.004514,0.004939
10,14,24,8607,329810,338417,0.000704,0.013237,0.013941
9,13,22,8469,19703,28172,0.000667,0.001125,0.001792
10,16,26,39792,3553006,3592798,0.002728,0.140179,0.142907
10,12,22,72277,36065,108342,0.004585,0.001893,0.006478
9,16,25,7262,4587825,4595087,0.000523,0.169900,0.170423
10,14,24,30851,184609,215460,0.002227,0.007419,0.009646
10,14,24,43187,1864970,1908157,0.003461,0.065469,0.068930
10,12,22,11907,2449,14356,0.001009,0.000201,0.001210
8,15,23,637,948585,949222,0.000076,0.042538,0.042614
9,14,23,2041,977218,979259,0.000224,0.035834,0.036058
10,13,23,17102,147379,164481,0.001392,0.005917,0.007309
10,15,25,24137,896689,920826,0.001765,0.033076,0.034841
9,12,21,3091,105027,108118,0.000329,0.004185,0.004514
10,15,25,8960,796243,805203,0.000713,0.030165,0.030878
10,14,24,44542,355402,399944,0.002572,0.014530,0.017102
9,15,24,12979,466410,479389,0.000987,0.019033,0.020020
11,14,25,92860,1301422,1394282,0.006029,0.045355,0.051384
9,13,22,828,213800,214628,0.000120,0.009008,0.009128
10,14,24,16097,107969,124066,0.001273,0.005546,0.006819
8,14,22,1756,1805692,1807448,0.000169,0.069663,0.069832
10,13,23,39927,279837,319764,0.003050,0.011446,0.014496
8,16,24,248,2308890,2309138,0.000024,0.099567,0.099591
10,15,25,42105,689288,731393,0.003164,0.031726,0.034890
10,15,25,20815,571145,591960,0.001608,0.025515,0.027123
9,14,23,3388,296091,299479,0.000299,0.013068,0.013367
9,14,23,3913,328832,332745,0.000347,0.015277,0.015624
10,15,25,13103,3437408,3450511,0.001029,0.140683,0.141712
10,14,24,14807,197330,212137,0.001189,0.007590,0.008779
9,16,25,9525,1877298,1886823,0.000735,0.084255,0.084990
9,15,24,9667,1086174,1095841,0.000823,0.042609,0.043432
7,15,22,206,682210,682416,0.000019,0.032084,0.032103
9,15,24,2604,516742,519346,0.000263,0.023805,0.024068
9,15,24,1587,1848936,1850523,0.000183,0.071987,0.072170
10,15,25,15304,1953322,1968626,0.001194,0.074561,0.075755
10,14,24,16910,392574,409484,0.001369,0.015425,0.016794
10,15,25,10163,1524947,1535110,0.000854,0.056252,0.057106
10,15,25,47360,1019046,1066406,0.003339,0.045292,0.048631
10,15,25,33571,10981683,11015254,0.002491,0.382430,0.384921
10,15,25,19162,213554,232716,0.001615,0.009319,0.010934
10,15,25,16306,1242725,1259031,0.001171,0.052605,0.053776
9,14,23,6125,100096,106221,0.000581,0.004114,0.004695
10,16,26,21677,3925590,3947267,0.001751,0.164944,0.166695
10,14,24,18269,223549,241818,0.001302,0.009076,0.010378
9,13,22,22471,1085,23556,0.001750,0.000115,0.001865
11,13,24,72600,5174,77774,0.004718,0.000307,0.005025
10,14,24,30123,652942,683065,0.001993,0.024677,0.026670
9,15,24,18495,134803,153298,0.001325,0.005744,0.007069
8,11,19,1524,9193,10717,0.000132,0.000415,0.000547
10,14,24,25737,168500,194237,0.002017,0.006606,0.008623
9,14,23,853,7533795,7534648,0.000075,0.287003,0.287078
9,15,24,10118,2796634,2806752,0.000828,0.113566,0.114394
8,14,22,545,223262,223807,0.000057,0.010013,0.010070
10,10,20,12990,966,13956,0.000993,0.000064,0.001057
10,13,23,20019,158400,178419,0.001387,0.006903,0.008290
10,15,25,37194,4778112,4815306,0.002927,0.204958,0.207885
10,14,24,16428,64976,81404,0.001391,0.003077,0.004468
10,15,25,20077,939665,959742,0.001495,0.045939,0.047434
9,14,23,5750,275675,281425,0.000538,0.015355,0.015893
10,14,24,25060,80962,106022,0.001777,0.004284,0.006061
10,16,26,16087,3393033,3409120,0.001269,0.145749,0.147018
9,14,23,12884,90784,103668,0.001247,0.004363,0.005610
11,13,24,79508,315210,394718,0.005688,0.014850,0.020538
8,14,22,398,199577,199975,0.000042,0.009025,0.009067
10,14,24,44896,880706,925602,0.003280,0.037056,0.040336
10,13,23,47671,193933,241604,0.003564,0.007977,0.011541
9,13,22,4411,384664,389075,0.000514,0.015255,0.015769
10,12,22,25887,79389,105276,0.001867,0.003569,0.005436
9,15,24,808,2610282,2611090,0.000074,0.106253,0.106327
9,13,22,10279,19788,30067,0.000974,0.000918,0.001892
9,15,24,1851,1140827,1142678,0.000165,0.047837,0.048002
10,14,24,61703,655779,717482,0.004369,0.028886,0.033255
10,13,23,15142,224989,240131,0.001180,0.009515,0.010695
10,15,25,45164,6128754,6173918,0.003193,0.234654,0.237847
10,15,25,15957,1698047,1714004,0.001281,0.069772,0.071053
9,12,21,889,26288,27177,0.000128,0.001205,0.001333
9,15,24,18460,429654,448114,0.001434,0.018556,0.019990
10,12,22,55255,3231,58486,0.004217,0.000211,0.004428
10,14,24,3961,281967,285928,0.000311,0.011456,0.011767
10,12,22,19060,782,19842,0.001424,0.000071,0.001495
9,15,24,2397,328934,331331,0.000200,0.013676,0.013876
9,14,23,6112,488856,494968,0.000516,0.017739,0.018255
