phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
12,8,20,22127536,228,22127764,1.271882,0.000018,1.271900
12,8,20,8283401,115,8283516,0.480830,0.000007,0.480837
13,7,20,496397056,94,496397150,27.889868,0.000005,27.889874
15,5,20,-588031839,75,-588031764,686.138000,0.000007,686.138000
11,9,20,4018601,1728,4020329,0.224590,0.000057,0.224647
13,7,20,426353851,98,426353949,24.438688,0.000006,24.438694
12,8,20,3002003,122,3002125,0.175281,0.000008,0.175289
11,8,19,1061127,95,1061222,0.060845,0.000005,0.060850
12,8,20,857368,159,857527,0.052018,0.000007,0.052025
12,7,19,31120387,91,31120478,1.773048,0.000006,1.773054
12,8,20,21604374,101,21604475,1.223697,0.000007,1.223704
11,9,20,695876,382,696258,0.041212,0.000025,0.041237
13,7,20,261446957,119,261447076,14.645470,0.000013,14.645483
12,8,20,40489194,258,40489452,2.291477,0.000019,2.291496
13,7,20,180974032,105,180974137,10.402721,0.000008,10.402729
11,9,20,1301948,1372,1303320,0.077414,0.000078,0.077492
14,6,20,1944436649,86,1944436735,112.976227,0.000006,112.976234
12,8,20,22856361,126,22856487,1.313968,0.000009,1.313977
12,8,20,20313321,109,20313430,1.156562,0.000007,1.156569
9,11,20,10451,917,11368,0.000752,0.000033,0.000785
10,10,20,51005,3865,54870,0.003267,0.000166,0.003433
13,7,20,65867568,140,65867708,3.749310,0.000011,3.749321
9,11,20,9396,26421,35817,0.000636,0.001130,0.001766
11,9,20,1140774,165,1140939,0.065318,0.000012,0.065330
10,10,20,61694,263,61957,0.004019,0.000020,0.004039
11,7,18,2131244,93,2131337,0.123851,0.000006,0.123857
13,7,20,417783853,91,417783944,23.702881,0.000005,23.702887
13,6,19,438269275,82,438269357,24.083513,0.000005,24.083519
9,10,19,16615,590,17205,0.001371,0.000019,0.001390
8,12,20,1748,10554,12302,0.000158,0.000358,0.000516
14,6,20,169284955,77,169285032,9.791207,0.000004,9.791211
9,11,20,14770,884,15654,0.000943,0.000040,0.000983
13,7,20,132124253,89,132124342,7.160555,0.000005,7.160560
12,8,20,13391064,157,13391221,0.800623,0.000014,0.800637
12,8,20,28448733,94,28448827,1.677761,0.000005,1.677766
13,7,20,203170765,131,203170896,11.765097,0.000010,11.765106
13,7,20,43985884,93,43985977,2.478322,0.000005,2.478327
9,11,20,21546,497,22043,0.001240,0.000043,0.001283
12,8,20,20226847,104,20226951,1.149694,0.000007,1.149701
12,8,20,7133669,171,7133840,0.418813,0.000014,0.418827
13,7,20,350073773,96,350073869,19.665482,0.000005,19.665487
14,6,20,352869002,73,352869075,18.792509,0.000003,18.792513
13,7,20,373520429,86,373520515,21.117311,0.000006,21.117317
9,11,20,16696,7515,24211,0.001113,0.000266,0.001379
12,8,20,1749950,110,1750060,0.105880,0.000005,0.105885
