phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
12,8,20,22127536,228,22127764,1.227410,0.000019,1.227429
12,8,20,8283401,115,8283516,0.468261,0.000007,0.468268
13,7,20,496397056,94,496397150,27.350563,0.000005,27.350569
15,5,20,-588031839,75,-588031764,681.102356,0.000006,681.102356
11,9,20,4018601,1728,4020329,0.211897,0.000057,0.211954
13,7,20,426353851,98,426353949,24.180552,0.000006,24.180557
12,8,20,3002003,122,3002125,0.168241,0.000009,0.168250
11,8,19,1061127,95,1061222,0.058124,0.000006,0.058130
12,8,20,857368,159,857527,0.048628,0.000007,0.048635
12,7,19,31120387,91,31120478,1.722206,0.000007,1.722213
12,8,20,21604374,101,21604475,1.179248,0.000008,1.179256
11,9,20,695876,382,696258,0.038940,0.000025,0.038965
13,7,20,261446957,119,261447076,14.554393,0.000005,14.554398
12,8,20,40489194,258,40489452,2.251852,0.000020,2.251872
13,7,20,180974032,105,180974137,10.105009,0.000008,10.105017
11,9,20,1301948,1372,1303320,0.073085,0.000075,0.073160
14,6,20,1944436649,86,1944436735,110.151192,0.000005,110.151199
12,8,20,22856361,126,22856487,1.283923,0.000008,1.283931
12,8,20,20313321,109,20313430,1.108769,0.000007,1.108776
9,11,20,10451,917,11368,0.000746,0.000032,0.000778
10,10,20,51005,3865,54870,0.003138,0.000165,0.003303
13,7,20,65867568,140,65867708,3.682124,0.000012,3.682136
9,11,20,9396,26421,35817,0.000588,0.001144,0.001732
11,9,20,1140774,165,1140939,0.062467,0.000012,0.062479
10,10,20,61694,263,61957,0.003799,0.000020,0.003819
11,7,18,2131244,93,2131337,0.118095,0.000006,0.118101
13,7,20,417783853,91,417783944,23.005148,0.000005,23.005154
13,6,19,438269275,82,438269357,23.934536,0.000005,23.934542
9,10,19,16615,590,17205,0.001274,0.000019,0.001293
8,12,20,1748,10554,12302,0.000157,0.000359,0.000516
14,6,20,169284955,77,169285032,9.509403,0.000004,9.509407
9,11,20,14770,884,15654,0.000905,0.000039,0.000944
13,7,20,132124253,89,132124342,6.958347,0.000005,6.958352
12,8,20,13391064,157,13391221,0.781380,0.000015,0.781395
12,8,20,28448733,94,28448827,1.623303,0.000004,1.623307
13,7,20,203170765,131,203170896,11.756409,0.000009,11.756417
13,7,20,43985884,93,43985977,2.389107,0.000005,2.389112
9,11,20,21546,497,22043,0.001180,0.000043,0.001223
12,8,20,20226847,104,20226951,1.108144,0.000006,1.108150
12,8,20,7133669,171,7133840,0.403872,0.000016,0.403888
13,7,20,350073773,96,350073869,19.135864,0.000006,19.135870
14,6,20,352869002,73,352869075,18.623547,0.000003,18.623550
13,7,20,373520429,86,373520515,20.550514,0.000006,20.550520
9,11,20,16696,7515,24211,0.001101,0.000267,0.001368
12,8,20,1749950,110,1750060,0.099551,0.000005,0.099556
14,6,20,43455749,84,43455833,2.449030,0.000005,2.449035
13,6,19,167664759,80,167664839,9.330461,0.000006,9.330466
15,5,20,1273206050,70,1273206120,69.458557,0.000003,69.458557
14,6,20,1267227538,81,1267227619,70.171791,0.000005,70.171799
12,8,20,8134260,384,8134644,0.429397,0.000019,0.429416
12,8,20,3010489,107,3010596,0.168110,0.000006,0.168116
