phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
9,14,23,6120,399224,405344,0.000323,0.009671,0.009994
9,13,22,2792,1069269,1072061,0.000150,0.022329,0.022479
10,13,23,34568,8079,42647,0.001581,0.000408,0.001989
10,14,24,30977,522489,553466,0.001504,0.012724,0.014228
10,14,24,11594,129978,141572,0.000547,0.003035,0.003582
11,14,25,91831,14962,106793,0.003814,0.000682,0.004496
10,13,23,26496,82848,109344,0.001080,0.002395,0.003475
9,15,24,17450,196221,213671,0.000660,0.006520,0.007180
9,15,24,1532,1183471,1185003,0.000083,0.031610,0.031693
9,14,23,6369,145340,151709,0.000331,0.003425,0.003756
9,13,22,1408,66712,68120,0.000079,0.001598,0.001677
9,14,23,4406,73285,77691,0.000224,0.002134,0.002358
10,14,24,15211,139968,155179,0.000693,0.003380,0.004073
9,14,23,12646,2051130,2063776,0.000548,0.042739,0.043287
10,15,25,12986,2762204,2775190,0.000591,0.053878,0.054469
10,15,25,31288,2161816,2193104,0.001263,0.048512,0.049775
7,14,21,189,130851,131040,0.000010,0.003096,0.003106
10,14,24,20015,220386,240401,0.000961,0.005360,0.006321
8,14,22,1038,1823565,1824603,0.000053,0.042944,0.042997
9,14,23,12390,241597,253987,0.000561,0.005546,0.006107
9,15,24,1243,334285,335528,0.000064,0.007974,0.008038
9,13,22,3324,239764,243088,0.000176,0.005146,0.005322
10,12,22,41081,1812,42893,0.001757,0.000074,0.001831
11,13,24,60309,4644,64953,0.002479,0.000140,0.002619
10,13,23,35314,410301,445615,0.001315,0.010118,0.011433
10,15,25,18383,20840710,20859093,0.000804,0.393459,0.394263
9,15,24,1979,631023,633002,0.000101,0.011447,0.011548
10,14,24,36099,403559,439658,0.001437,0.010222,0.011659
8,13,21,1182,3065,4247,0.000066,0.000099,0.000165
10,15,25,12508,4058087,4070595,0.000607,0.081348,0.081955
10,14,24,21878,252297,274175,0.001005,0.005224,0.006229
11,15,26,174421,2235580,2410001,0.005772,0.056085,0.061857
10,15,25,14993,805328,820321,0.000647,0.019980,0.020627
10,13,23,19634,1076209,1095843,0.000853,0.021197,0.022050
10,14,24,10984,889365,900349,0.000499,0.016701,0.017200
10,14,24,22583,190620,213203,0.000972,0.003944,0.004916
10,12,22,6992,25327,32319,0.000313,0.000588,0.000901
10,13,23,37688,8693,46381,0.001492,0.000266,0.001758
9,12,21,5394,53309,58703,0.000210,0.001314,0.001524
10,14,24,10367,353552,363919,0.000665,0.008171,0.008836
8,12,20,1278,87928,89206,0.000080,0.002122,0.002202
10,12,22,23331,25032,48363,0.001050,0.000689,0.001739
10,13,23,19641,155971,175612,0.000837,0.003891,0.004728
9,14,23,6165,326625,332790,0.000295,0.008157,0.008452
10,15,25,13391,1206592,1219983,0.000659,0.027872,0.028531
9,14,23,5270,332206,337476,0.000270,0.008186,0.008456
8,14,22,301,2189055,2189356,0.000016,0.045991,0.046007
10,14,24,55009,445349,500358,0.002372,0.010443,0.012815
10,15,25,8300,1481213,1489513,0.000524,0.036178,0.036702
9,15,24,6005,608085,614090,0.000294,0.013086,0.013380
9,14,23,2422,920467,922889,0.000118,0.021691,0.021809
10,16,26,9367,3775419,3784786,0.000547,0.080882,0.081429
9,14,23,18025,1140050,1158075,0.000799,0.025258,0.026057
10,13,23,27660,278284,305944,0.001471,0.005925,0.007396
10,14,24,9931,102557,112488,0.000486,0.002424,0.002910
10,13,23,21219,205555,226774,0.000955,0.005025,0.005980
10,15,25,26485,1672910,1699395,0.002041,0.041153,0.043194
9,14,23,5530,734174,739704,0.000340,0.020717,0.021057
10,14,24,19604,173301,192905,0.001177,0.006834,0.008011
9,14,23,639,606002,606641,0.000047,0.022486,0.022533
10,15,25,4787,1522518,1527305,0.000329,0.051571,0.051900
10,16,26,64599,2154118,2218717,0.003145,0.062801,0.065946
10,16,26,15315,2648085,2663400,0.000918,0.064722,0.065640
10,15,25,20985,652333,673318,0.000842,0.018689,0.019531
9,15,24,15975,4555499,4571474,0.001000,0.097654,0.098654
10,14,24,17421,370299,387720,0.000779,0.008965,0.009744
9,16,25,2511,3394011,3396522,0.000118,0.083309,0.083427
9,14,23,3571,487392,490963,0.000209,0.012189,0.012398
10,14,24,27388,2513885,2541273,0.001398,0.058037,0.059435
10,14,24,17703,203305,221008,0.000863,0.005150,0.006013
9,14,23,11327,368045,379372,0.000516,0.008795,0.009311
9,15,24,1975,849093,851068,0.000103,0.020957,0.021060
11,14,25,164450,206455,370905,0.007075,0.005683,0.012758
10,15,25,11789,1767148,1778937,0.000593,0.044828,0.045421
10,15,25,86977,1247563,1334540,0.004193,0.038573,0.042766
9,14,23,8872,254310,263182,0.000555,0.007617,0.008172
9,13,22,2955,228178,231133,0.000154,0.006875,0.007029
10,15,25,12135,197674,209809,0.000634,0.006118,0.006752
9,14,23,4435,1013410,1017845,0.000264,0.028853,0.029117
9,15,24,2104,3184493,3186597,0.000116,0.076315,0.076431
10,15,25,12307,1786403,1798710,0.000600,0.041717,0.042317
10,14,24,22533,760104,782637,0.001134,0.019980,0.021114
9,14,23,5381,1117277,1122658,0.000278,0.028005,0.028283
10,15,25,31416,1121186,1152602,0.001427,0.027551,0.028978
10,16,26,31419,7039244,7070663,0.001488,0.153541,0.155029
10,14,24,30730,59088,89818,0.001318,0.001595,0.002913
9,13,22,2846,38424,41270,0.000123,0.000781,0.000904
10,16,26,41827,1525736,1567563,0.001589,0.033266,0.034855
9,15,24,1864,1152392,1154256,0.000103,0.025732,0.025835
9,14,23,5539,1247061,1252600,0.000273,0.023848,0.024121
10,13,23,16102,19685,35787,0.000691,0.000493,0.001184
10,15,25,10847,1088673,1099520,0.000531,0.024599,0.025130
9,15,24,4377,2192959,2197336,0.000226,0.048704,0.048930
11,14,25,143090,130765,273855,0.005623,0.003694,0.009317
10,13,23,31623,242315,273938,0.001354,0.006517,0.007871
10,12,22,10456,47608,58064,0.000565,0.001346,0.001911
10,14,24,32486,1030648,1063134,0.001575,0.030505,0.032080
10,15,25,23202,18798044,18821246,0.001220,0.486066,0.487286
8,13,21,700,142908,143608,0.000045,0.003656,0.003701
8,13,21,2359,59783,62142,0.000122,0.001455,0.001577
9,14,23,10075,490357,500432,0.000558,0.012361,0.012919
10,14,24,14734,1541019,1555753,0.000718,0.036140,0.036858
9,14,23,12762,133013,145775,0.000641,0.003248,0.003889
8,14,22,444,433562,434006,0.000023,0.010748,0.010771
