phase1_solution_length,phase2_solution_length,solution_length,phase1_move_count,phase2_move_count,move_count,phase1_solve_time,phase2_solve_time,solve_time
10,12,22,43072,18763,61835,0.002024,0.000542,0.002566
9,14,23,3810,560596,564406,0.000188,0.012789,0.012977
10,13,23,43319,30126,73445,0.001776,0.000763,0.002539
8,12,20,672,13543,14215,0.000030,0.000383,0.000413
10,15,25,14123,1446854,1460977,0.000640,0.031823,0.032463
9,14,23,8331,895855,904186,0.000395,0.018356,0.018751
10,15,25,8777,2228344,2237121,0.000416,0.038730,0.039146
9,10,19,5150,248,5398,0.000238,0.000005,0.000243
8,13,21,792,248145,248937,0.000034,0.004269,0.004303
10,15,25,46411,3031275,3077686,0.001890,0.053836,0.055726
9,15,24,1961,2111312,2113273,0.000094,0.034558,0.034652
10,14,24,24138,1172537,1196675,0.001033,0.019845,0.020878
9,14,23,9256,285159,294415,0.000374,0.005686,0.006060
9,15,24,5012,1333630,1338642,0.000236,0.023105,0.023341
9,14,23,3129,1853684,1856813,0.000160,0.030732,0.030892
8,14,22,363,434157,434520,0.000016,0.007284,0.007300
11,12,23,135715,18875,154590,0.004667,0.000417,0.005084
10,15,25,34166,648524,682690,0.000995,0.014753,0.015748
10,14,24,16558,1931475,1948033,0.000693,0.038047,0.038740
10,14,24,14543,1281308,1295851,0.000620,0.021408,0.022028
10,13,23,18465,41048,59513,0.000771,0.000779,0.001550
9,12,21,6624,7371,13995,0.000243,0.000164,0.000407
10,15,25,19349,1861343,1880692,0.000756,0.033053,0.033809
11,16,27,66854,4290822,4357676,0.002391,0.073237,0.075628
10,13,23,12501,256171,268672,0.000569,0.004600,0.005169
9,14,23,6445,878757,885202,0.000388,0.015809,0.016197
10,11,21,7259,24454,31713,0.000357,0.000411,0.000768
10,16,26,35068,3845912,3880980,0.001307,0.066599,0.067906
9,15,24,4218,1868719,1872937,0.000207,0.032208,0.032415
9,15,24,5926,2757942,2763868,0.000247,0.047498,0.047745
10,10,20,10100,5364,15464,0.000465,0.000091,0.000556
9,15,24,7636,1512952,1520588,0.000348,0.025883,0.026231
9,14,23,12451,220460,232911,0.000585,0.003885,0.004470
9,14,23,853,352560,353413,0.000037,0.007222,0.007259
10,15,25,11314,1494751,1506065,0.001704,0.032090,0.033794
8,15,23,237,1805330,1805567,0.000011,0.030908,0.030919
10,14,24,25216,173944,199160,0.001069,0.003277,0.004346
9,14,23,6421,181127,187548,0.000266,0.003724,0.003990
8,12,20,493,19245,19738,0.000021,0.000357,0.000378
10,14,24,28327,39629,67956,0.001114,0.000793,0.001907
9,13,22,4662,63468,68130,0.000189,0.001294,0.001483
9,13,22,11578,66680,78258,0.000449,0.001346,0.001795
10,15,25,32705,2021323,2054028,0.001254,0.040480,0.041734
10,13,23,70448,40031,110479,0.002410,0.000831,0.003241
10,15,25,10436,5325031,5335467,0.000443,0.096523,0.096966
10,13,23,25312,135180,160492,0.001015,0.002727,0.003742
10,15,25,66568,710093,776661,0.002355,0.014852,0.017207
9,15,24,5326,437102,442428,0.000240,0.009597,0.009837
10,12,22,16579,25672,42251,0.000721,0.000527,0.001248
9,13,22,4032,252936,256968,0.000193,0.005263,0.005456
10,16,26,27277,5191241,5218518,0.001168,0.120103,0.121271
9,15,24,16072,641762,657834,0.000924,0.014463,0.015387
10,16,26,20044,10492744,10512788,0.000986,0.209148,0.210134
9,14,23,1237,125648,126885,0.000069,0.002574,0.002643
10,14,24,25134,451686,476820,0.001173,0.008916,0.010089
9,14,23,2161,997992,1000153,0.000102,0.019338,0.019440
9,15,24,4897,269746,274643,0.000274,0.006592,0.006866
9,13,22,8576,63867,72443,0.000406,0.001332,0.001738
10,16,26,62279,4841714,4903993,0.002275,0.089771,0.092046
10,13,23,7225,1826793,1834018,0.000340,0.029349,0.029689
9,14,23,8063,33939,42002,0.000351,0.000626,0.000977
10,14,24,23107,232953,256060,0.000802,0.004342,0.005144
